Year_of_last_filed_report,NPRI_Site_ID,Company_Name,Facility_Name,Address_line_1,Address_line_2,City,Province,Postal_Code,Key_Industrial_Sector,Datum,Latitude,Longitude,PRV_WSHD_I,NHN_TWS_ID
2017,16989,Trident Exploration Corp,Stewart Lake Gas Plant 01-23,,,,AB,,Conventional Oil and Gas extraction,WGS84,51.7518,-113.8646,AB-08020203,05CE
2018,16990,AlphaBow Energy Ltd.,HUSKY GALAHAD 1-14,,,,AB,,Conventional Oil and Gas extraction,WGS84,52.5228,-116.38,AB-11010403,05DD
2015,16991,Husky Oil Operations Limited,Thompson Lake Gas Plant 13-30-040-10W4,,,BATTLE BEND,AB,,,WGS84,52.4757,-111.4414,AB-09020101,05FC
2021,16992,Surge Energy Inc.,Provost Gas Plant 08-14-040-03W4,,,Provost,AB,,Conventional Oil and Gas extraction,WGS84,52.4393,-110.3164,AB-07010109,05GA
2017,16993,Trident Exploration Corp,McKee Lake Gas Plant 01-13,,,,AB,,Conventional Oil and Gas extraction,WGS84,51.7373,-112.5617,AB-08020204,05CE
2016,16994,Husky Oil Operations Limited,Bolloque West Compressor Station 04-26-064-26W4,,,LARKSPUR,AB,,,WGS84,54.5601,-113.8411,AB-17030304,07BC
2007,16995,HUSKY ENERGY,ARMSTRONG LAKE C.S.,11-09-62-24W4,,CLYDE,AB,,,WGS84,54.349,-113.5516,AB-17030302,07BC
2007,16996,HUSKY ENERGY,PROSPERITY C.S.,05-15-68-19W4,,GRASSLAND,AB,,,WGS84,51.8837,-112.8287,AB-08020103,05CD
2018,16997,Husky Oil Operations Limited,Gambler Gas Plant 08-28-070-21W4,,,CALLING LAKE,AB,,Conventional Oil and Gas extraction,WGS84,55.0873,-113.141,AB-17050202,07CB
2007,16998,HUSKY ENERGY,SUNNYNOOK G.P.,13-24-26-12W4,,SUNNYNOOK,AB,,,WGS84,51.239,-111.5606,AB-08030301,05CH
2007,16999,HUSKY ENERGY,BAPTISTE WEST C.S.,14-25-68-23-W4,,ISLAND LAKE,AB,,,WGS84,54.92,-113.3825,AB-17050101,07BE
2007,17000,HUSKY ENERGY,CONN LAKE C.S.,10-31-63-7-W4,,BONNYVILLE,AB,,,WGS84,54.4945,-111.047,AB-12020101,06AC
2007,17001,HUSKY ENERGY,DANCING LAKE C.S.,14-11-67-01-W5,,TIELAND,AB,,,WGS84,54.7893,-114.0425,AB-17010703,07BD
2007,17002,HUSKY ENERGY,RICH BOOSTER,03-16-36-21-W4,,BIG VALLEY,AB,,,WGS84,52.0865,-112.9518,AB-08020101,05CD
2003,17003,HUSKY ENERGY,SYLVAN LAKE BOOSTER,03-34-38-2-W5,,SYLVAN LAKE,AB,,,WGS84,52.3048,-114.2068,AB-08010301,05CC
2003,17004,HUSKY ENERGY,CAROLSIDE O.B.,04-10-26-12-W4,,SUNNYNOOK,AB,,,WGS84,51.199,-111.6073,AB-08030301,05CH
2018,17005,AlphaBow Energy Ltd.,RENAISSANCE PROVOST 1-30,,,,AB,,Conventional Oil and Gas extraction,WGS84,52.1157,-110.9831,AB-07010107,05GA
2006,17006,PENN WEST PETROLEUM,HEISLER OB 09-11-043-16W4,09-11-043-16W4,,HEISLER,AB,,,WGS84,52.6903,-112.21,AB-09010105,05FB
2007,17007,PENN WEST ENERGY TRUST,DRUMHELLER BATTERY 14-20-29-19W4,14-20-029-19W4,,,AB,,,WGS84,51.5015,-112.6437,AB-08020204,05CE
2008,17008,HUSKY ENERGY,DOLCY O.B.,01-28-41-04W4,,PROVOST,AB,,,WGS84,52.552,-110.5089,AB-09030202,05FD
2021,17009,West Lake Energy Corp,RENAISSANCE PROVOST 5-12,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,52.3373,-110.1661,AB-07010109,05GA
2006,17010,PENN WEST PETROLEUM,COMPEER 02-02-033-01W4,02-02-033-01W4,,COMPEER,AB,,,WGS84,51.7954,-110.0333,AB-07010108,05GA
2018,17011,Husky Oil Operations Limited,Fort Kent Compressor Station 14-10-062-04W4,,,BONNYVILLE,AB,T9N2H4,Conventional Oil and Gas extraction,WGS84,54.3526,-110.5178,AB-12020105,06AC
2007,17012,HUSKY ENERGY,PREVO O.B.,16-14-39-01-W5,,SYLVAN LAKE,AB,,,WGS84,52.3592,-114.0269,AB-08010303,05CC
2018,17013,Whitecap Resources Inc.,FOSTERTON MAIN UNIT,,,SK GHG AGGREGATE,SK,,Conventional Oil and Gas extraction,WGS84,50.4132,-108.3933,NA,05HA
2019,17014,Husky Oil Operations Limited,Pikes Peak Thermal 04-06-050-23W3,2944 - 44 Avenue,,LLOYDMINSTER,SK,S9V 0Z1,Conventional Oil and Gas extraction,WGS84,53.27974,-109.36676,NA,05EF
2018,17015,Prairie Thunder Resources Ltd.,Eagle Creek Oil Battery 15-13-039-25W3,,,DENZIL,SK,,Conventional Oil and Gas extraction,WGS84,52.3594,-109.4744,NA,05GB
2015,17016,Perpetual Energy Inc.,Saleski 05-08,,,,AB,,,WGS84,56.6131,-112.849,AB-17070202,07DB
2009,17017,PENN WEST ENERGY TRUST,CADOTTE 10-34-086-18W5,10-34-086-18W5,,,AB,,,WGS84,56.5029,-116.7504,AB-18010401,07HB
2015,17018,Husky Oil Operations Limited,Haig River North Compressor Station 01-17-105-01W6,,,PADDLE PRARIE,AB,,,WGS84,58.1104,-118.1156,AB-19010203,07OC
2016,17019,Husky Oil Operations Limited,Muskwa River Gas Plant 02-33-083-25W4,,,WABASCA-DESMARAIS,AB,,,WGS84,56.2332,-113.8964,AB-18050106,07JA
2010,17020,OMERS Energy Inc.,HUSKY LUBICON 7-1 GAS PLANT,07-01-087-11-W5,,,AB,,,WGS84,56.5139,-115.606,AB-18050302,07JC
2011,17021,Husky Oil Operations Limited,Agnes Lake Compressor Station 08-33-079-14W4,,,MARIANA LAKE,AB,,,WGS84,55.8876,-112.1257,AB-17050205,07CB
2016,17022,Husky Oil Operations Limited,Calling Lake West Compressor Station 14-32-072-19W4,,,CALLING LAKE,AB,,,WGS84,55.2939,-112.8975,AB-17050202,07CB
2014,17023,Husky Oil Operations Limited,Rock Island Compressor Station 09-36-075-23W4,,,SANDY LAKE,AB,,,WGS84,55.542,-113.4308,AB-17050202,07CB
2017,17024,Husky Oil Operations Limited,Twin Lakes Compressor Station 09-13-076-20W4,,,MD 17,AB,,Conventional Oil and Gas extraction,WGS84,55.5857,-112.9635,AB-17050203,07CB
2003,17025,HUSKY ENERGY,MCMULLEN BOOSTER,15-20-76-24W4,,WATINO,AB,,,WGS84,55.6053,-113.6906,AB-18050103,07BK
2012,17026,Husky Oil Operations Limited,McMillan Compressor Station 07-34-076-03W5,,,SLAVE LAKE,AB,,,WGS84,55.6257,-114.3742,AB-18050101,07JA
2003,17027,HUSKY ENERGY,MCMULLEN BOOSTER,04-08-77-25W4,,EAGLESHAM,AB,,,WGS84,55.6512,-113.8655,AB-18050103,07JA
2018,17028,Husky Oil Operations Limited,Pelican Compressor Station 05-25-078-20W4,,,MD 17,AB,,Conventional Oil and Gas extraction,WGS84,55.7859,-112.9829,AB-17050204,07CB
2012,17029,Husky Oil Operations Limited,Thornbury North Compressor Station 14-09-082-12W4,,,MARIANA LAKE,AB,,,WGS84,56.0987,-111.8245,AB-17050403,07CC
2003,17030,HUSKY ENERGY,MUSKWA BOOSTER C.S.,11-18-83-1-W5,,WHITELAW,AB,,,WGS84,56.1968,-114.1497,AB-18050106,07JA
2007,17031,HUSKY ENERGY,PADDLE PRAIRIE C.S.,11-05-105-24W5,,PADDLE PRAIRIE,AB,,,WGS84,58.0884,-117.9542,AB-19010203,07OC
2011,17032,Husky Oil Operations Limited,Haro River North Compressor Station 07-23-105-03W6,,,PADDLE PRARIE,AB,,,WGS84,58.1284,-118.3821,AB-19010208,07OC
2021,17033,Husky Oil Operations Limited,FAWCETT RIVER CS 10-23-078-25W4,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,55.7748,-113.7747,AB-18050103,07JA
2007,17034,HUSKY ENERGY,CARIBOU CREEK C.S.,01-01-108-24W5,,HIGH LEVEL,AB,,,WGS84,58.3432,-117.8675,AB-18040102,07JF
2009,17035,HUSKY ENERGY,EVERGREEN C.S.,07-15-110-21-W5,,HIGH LEVEL,AB,,,WGS84,58.5504,-117.4267,AB-18040103,07JF
2020,17036,Husky Oil Operations Limited,Amadou Compressor Station 14-03-074-20W4,,,CALLING LAKE,AB,,Conventional Oil and Gas extraction,WGS84,55.3857,-113.0016,AB-17050202,07CB
2007,17037,HUSKY ENERGY,RED EARTH O.B.,12-17-87-8W5,,RED EARTH CREEK,AB,,,WGS84,56.5462,-115.2515,AB-18050303,07JC
2005,17038,HUSKY ENERGY,WARDLOW G.P.,02-31-22-11W4,,WARDLOW,AB,,,WGS84,50.9079,-111.5142,AB-08030303,05CH
2012,17039,Husky Oil Operations Limited,Wrentham Compressor Station 16-31-006-16W4,,,WRENTHAM,AB,,,WGS84,49.5219,-112.1395,AB-02010102,05AG
2018,17040,Canadian Natural Resources Limited,Warner Oil Battery 04-20-007-16W4,,,,AB,,Conventional Oil and Gas extraction,WGS84,49.5692,-112.1492,AB-04010602,05AG
2007,17041,HUSKY ENERGY,CYPRESS O.B.,04-29-14-10-W4,,SUFFIELD,AB,,,WGS84,50.1947,-111.3437,AB-04021302,05BN
2020,17042,Canadian Natural Resources Limited,ABBT0052094,,,,AB,,Conventional Oil and Gas extraction,WGS84,50.8607,-111.1265,AB-08030201,05CK
2009,17043,HUSKY ENERGY,RED DEER RIVER O.B.,16-21-022-09-W4,,HOWIE,AB,,,WGS84,50.8895,-111.1842,AB-08030201,05CK
2021,17044,Canadian Natural Resources Limited,Bow Island Sour Gas Plant 06-26-011-11W4,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,49.9367,-111.4065,AB-04030101,05AJ
2016,17045,Canadian Natural Resources Limited,Brooks Oil Battery 02-12-019-14W4,,,,AB,,,WGS84,50.5879,-111.8151,AB-08030203,05CJ
2020,17046,Canadian Natural Resources Limited,Crowsnest Oil Battery 02-30-009-16W4,,,,AB,,Conventional Oil and Gas extraction,WGS84,49.7583,-112.1597,AB-04010601,05AG
2021,17047,Cardinal Energy Ltd.,Jenner 11-21-20-8W4,,,Jenner,AB,T0J 1W0,Conventional Oil and Gas extraction,WGS84,50.7119,-111.0574,AB-08030201,05CJ
2020,17048,Canadian Natural Resources Limited,Etzikom Creek Oil Battery 06-13-006-17W4,,,,AB,,Conventional Oil and Gas extraction,WGS84,49.4708,-112.1734,AB-02010102,05AF
2021,17049,Whitecap Resources Inc.,Gull Lake 16-18-014-19W3 BTY,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,50.1767,-108.5811,NA,05HC
2007,17050,HUSKY ENERGY,GULL LAKE NORTH O.B.,13-35-13-19W3,,GULL LAKE,SK,,,WGS84,50.133,-108.5063,NA,05HA
2021,17051,Whitecap Resources Inc.,Gull Lake 05-09-014-19W3 GP,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,50.1549,-108.5526,NA,05HA
2021,17052,Whitecap Resources Inc.,South Success 10-26-016-16W3 BTY,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,50.3767,-108.1003,NA,05HC
2015,17053,Husky Oil Operations Limited,Bench O.B.,,,PRAIRIE VIEW,SK,,,WGS84,49.893,-108.9852,NA,05HA
2021,17054,Whitecap Resources Inc.,Dodsland 13-11-032-20W3 GGS,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,51.73406,-108.74169,NA,05GC
2007,17055,HUSKY ENERGY,VERLO O.B.,05-27-16-19W3,,VERLO,SK,,,WGS84,50.3731,-108.5484,NA,05HA
2021,17056,Whitecap Resources Inc.,Webb 01-01-015-17W3 BTY,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,50.224,-108.2095,NA,05HC
2007,17057,HUSKY ENERGY,CARNDUFF O.B.,12-19-2-33W1,,CARNDUFF,SK,,,WGS84,49.1403,-101.897,NA,05NF
2021,17058,Husky Oil Operations Limited,WAPITI 10-14-067-08W6,,,Calgary,AB,T2P 3G7,Other (Except Manufacturing),WGS84,54.8,-119.1061,AB-18020304,07GC
2004,17059,HUSKY ENERGY,PREMIER UNIT O.B.,16-11-15-19W3,,VERLO,SK,,,WGS84,50.2495,-108.5083,NA,05HA
2015,17060,Husky Oil Operations Limited,Cantuar East Oil Battery 11-17-016-16W3,,,SUCCESS,SK,,,WGS84,50.3477,-106.7962,NA,05JC
2007,17061,HUSKY ENERGY,MACKLIN O.B.,05-24-39-28W3,,MACKLIN,SK,,,WGS84,52.3381,-109.909,NA,05GA
2014,17062,Husky Oil Operations Limited,Java O.B.,,,GULL LAKE,SK,,,WGS84,50.2858,-108.5714,NA,05HC
2003,17063,HUSKY ENERGY,DELTA UNIT O.B.,07-20-15-19W3,,GULL LAKE,SK,,,WGS84,50.2713,-108.5829,NA,05HC
2021,17064,Whitecap Resources Inc.,West Gull Lake 10-28-013-19W3 BTY,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,50.1149,-108.5412,NA,05HA
2003,17065,HUSKY ENERGY,SIKANNI C.S.,B-41-1/94-G-3,,SIKANNI CHIEF,BC,,,WGS84,57.2025,-123.0108,BC_239,10CB
2021,17066,Husky Oil Operations Limited,KAKWA GP 10-07-063-05W6,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,54.4361,-118.7438,AB-18020203,07GB
2021,17067,Husky Oil Operations Limited,ANSELL GP #1 07-27-051-19W5,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,53.4287,-116.7222,AB-17020101,07AF
2021,17068,Briko Energy Corp,Kisku Gas Plant 13-09-058-02W6,,,Greenview,AB,,Conventional Oil and Gas extraction,WGS84,54.0033,-118.2465,AB-18020701,07GG
2017,17069,Husky Oil Operations Limited,Strachan Gas Plant 03-06-039-11W5,,,NORDEGG,AB,,Conventional Oil and Gas extraction,WGS84,52.3192,-115.58,AB-11010202,05DC
2021,17070,Husky Oil Operations Limited,GALLOWAY GP 12-05-054-20W5,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,53.6359,-116.9318,AB-17020101,07AF
2003,17071,HUSKY ENERGY,SUCCESS MAIN UNIT O.B.,06-10-17-16W3,,SUCCESS,SK,,,WGS84,50.4168,-108.129,NA,05HC
2021,17072,Tidewater Midstream and Infrastructure Ltd.,Stolberg Dehy 02-03-041-14W5,,,Nordegg,AB,,Conventional Oil and Gas extraction,WGS84,52.4936,-115.935,AB-11010201,05DC
2009,17073,HUSKY ENERGY,BLACKSTONE DEHY,09-23-044-16-W5,,NORDEGG,AB,,,WGS84,52.8067,-116.21,AB-11010403,05DD
2011,17256,NAL Resources Management,15-14-069-25-W5 Comp. Stn.,,,ALBERTA,AB,,,WGS84,54.9783,-117.7088,AB-18020601,07GF
2014,17257,NAL Resources Management,Sylvan Lake 7-19-38-1,,,SYLVAN LAKE,AB,,,WGS84,52.2793,-114.1291,AB-08010301,05CC
2010,17258,NAL Resources Management,SYLVAN LAKE 8-12-37-5,8-12-37-5-W5,,SYLVAN LAKE,AB,,,WGS84,52.1629,-114.5768,AB-08010202,05CB
2019,17259,NAL Resources Management,Alida 11-27-005-33-W1,,,ALIDA,SK,,Conventional Oil and Gas extraction,WGS84,49.4165,-102.3764,NA,05ND
2020,17260,NAL Resources Management,North Nottingham Battery 05-29-005-32-W1,,,CALGARY,SK,T2P 1G1,Conventional Oil and Gas extraction,WGS84,49.4129,-102.2922,NA,05ND
2021,17261,Steel Reef Infrastructure Corp.,Nottingham Gas Plant 07-17-005-32-W1,,,Nottingham,SK,,Conventional Oil and Gas extraction,WGS84,49.389476,-101.758092,NA,05NF
2021,17444,Pine Cliff Energy Ltd.,McLeod Sweet Gas Plant 16-12-056-14W5,,,na,AB,,Conventional Oil and Gas extraction,WGS84,53.8287,-115.9433,AB-17020201,07AG
2021,17445,Conifer Energy Inc.,South Swan Hills,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,54.6473,-115.4958,AB-17010603,07AH
2016,17446,Pengrowth Energy Corporation,Judy Creek B-Pool WP,,,JUDY CREEK,AB,,,WGS84,54.4725,-115.6528,AB-17010601,07AH
2014,17447,Pengrowth Energy Corporation,BEATTON B-038-J/094-H-02,B-038-J/094-H-02,,BEATTON,BC,,,WGS84,57.1938,-120.7231,BC_218,07FC
2015,17448,Pengrowth Energy Corporation,BULRUSH C-053-F/094-A-16,C-053-F/094-A-16,,BULRUSH,BC,,,WGS84,56.8811,-120.2853,BC_98,07FC
2014,17449,Pengrowth Energy Corporation,ELM C-019-F/094-H-07,C-019-F/094-H-07,,ELM,BC,,,WGS84,57.3482,-120.8605,BC_218,07FC
2008,17450,PENGROWTH CORPORATION,"ELM #171 (D-46-F, 94-A-7)","d-46-F, 94-A-7",,BEATON RIVER,BC,,,WGS84,57.2893,-120.8179,BC_218,07FC
2004,17451,PENGROWTH CORPORATION,"ELM #4574 (B-58-C, 94-H-7)","b-58-C, 94-H-7",,BEATON RIVER,BC,,,WGS84,57.294,-120.8494,BC_218,07FC
2004,17452,PENGROWTH CORPORATION,"KOBES-ALTARES #9010 (A-41-I, 94-B-8)","a-41-I, 94-B-8",,BEAR FLAT,BC,,,WGS84,56.4522,-121.0053,BC_98,07FC
2010,17453,PENGROWTH ENERGY CORPORATION,"MILLIGAN #3211 (C-80-G, 94-H-5)","c-80-G, 94-H-5",C-080-G/094-H-05,BEATON RIVER,BC,,,WGS84,57.3978,-121.7479,BC_218,07FC
2004,17454,PENGROWTH CORPORATION,"MILLIGAN #3232 (B-68-G, 94-H-2)","b-68-G, 94-H-2",,BEATON RIVER,BC,,,WGS84,57.1353,-120.7228,BC_136,07FC
2019,17455,Cona Resources Ltd.,PENGROWTH OAK 10-03-087-18 001,,,NA,BC,,Conventional Oil and Gas extraction,WGS84,56.5188,-120.7631,BC_98,07FC
2012,17456,Pengrowth Energy Corporation,Oak 606 & 2365,,,BRITISH COLUMBIA,BC,,,WGS84,56.4462,-120.71,BC_98,07FC
2004,17457,PENGROWTH CORPORATION,OAK 448 (12-01-86-17 W6),12-01-086-17W6,,FORT ST. JOHN,BC,,,WGS84,56.4315,-120.659,BC_98,07FC
2015,17458,Pengrowth Energy Corporation,REDEYE D-060-L/094-H-07,1 Murphy Road,,PEACE RIVER,BC,,,WGS84,57.4642,-120.6175,BC_74,10CA
2003,17459,PENGROWTH CORPORATION,RIGEL #2037,d-95-i/94-a-15,,MONTNEY,BC,,,WGS84,56.9975,-120.555,BC_136,07FC
2008,17460,PENGROWTH CORPORATION,SQUIRREL #4349 (16-25-87-20 W6),16-25-087-20W6,,MONTNEY,BC,,,WGS84,56.5782,-121.0381,BC_98,07FC
2015,17461,Pengrowth Energy Corporation,TUPPER B-061-J/094-B-08,,,PEACE RIVER B,BC,,,WGS84,55.4689,-121.4597,BC_168,07FB
2020,17462,Strathcona Resources Ltd.,WEASEL D-035-B/094-H-02,,,,BC,,Conventional Oil and Gas extraction,WGS84,57.0311,-120.6803,BC_136,07FC
2018,17463,Obsidian Energy Ltd.,Paddle Prairie Compressor Station 03-01,,,,AB,,Conventional Oil and Gas extraction,WGS84,58.0812,-117.8288,AB-18040102,07JF
2005,17464,PENN WEST PETROLEUM,SHADOW OIL WELL,01-10-075-19W5M,,SHADOW,AB,,Other (Except Manufacturing),WGS84,55.4767,-116.8599,AB-18020801,07GH
2015,17465,Penn West Petroleum Ltd,Norcen Court Oil Battery 01-19,,,,SK,,,WGS84,51.8392,-109.8171,NA,05HB
2008,17466,PENN WEST ENERGY TRUST,IRMA COMPRESSOR STATION 1-24-45-8W4,01-24-045-08W4,,,AB,,,WGS84,52.8868,-111.0225,AB-09030101,05FE
2011,17467,Penn West Petroleum Ltd.,Pembina 01-32-050-10W5,,,,AB,,,WGS84,53.3522,-115.4211,AB-17030101,07BA
2013,17468,Penn West Petroleum Ltd.,Monitor Gas Plant 2-3-35-5W4,,,,AB,,,WGS84,51.97,-110.6294,AB-07010106,05GA
2021,17469,Teine Energy Ltd.,Hoosier Bty 2-07-31-27W3,,,Antelope Park,SK,,Conventional Oil and Gas extraction,WGS84,51.6359,-109.8169,NA,05HB
2007,17470,HARVEST OPERATIONS CORP.,BELLSHILL BATTERY 2-22-41-12W4,02-22-041-12W4,,,AB,,,WGS84,52.5376,-111.6459,AB-09020202,05FB
2021,17471,Crescent Point Energy Corp.,Lake Alma Oil MWB 02-29,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,49.06,-104.2409,NA,11AF
2005,17472,PENN WEST PETROLEUM,TOMAHAWK,02-36-052-06W5M,,TOMAHAWK,AB,,Other (Except Manufacturing),WGS84,53.527,-114.7497,AB-11020104,05DE
2006,17473,PENN WEST PETROLEUM,BERRYMOOR GAS PLANT 03-02-050-06W5,03-02-050-06W5M,,BERRYMOOR,AB,,Other (Except Manufacturing),WGS84,53.2795,-114.7742,AB-11020101,05DE
2021,17074,PIERIDAE ALBERTA PRODUCTION LTD.,Cordel Compressor Station 03-36-042-16W5,,,Calgary,AB,,Conventional Oil and Gas extraction,WGS84,52.6539,-116.1814,AB-11010406,05DD
2006,17075,HUSKY ENERGY,WILLY GREEN BOOSTER,07-13-041-07W5,,,AB,,,WGS84,52.5138,-114.898,AB-11010201,05DC
2007,17076,HUSKY ENERGY,MOOSE MOUNTAIN O.G.S.,16-22-23-7W5,,KANANASKIS VILLAGE,AB,,,WGS84,50.9769,-114.8892,AB-04020802,05BH
2003,17077,HUSKY ENERGY,KISKIU O.B.,08-33-57-2W6,,HOFF,AB,,,WGS84,53.9669,-118.2279,AB-18020701,07GG
2021,17078,Surge Energy Inc.,Renaissance Provost Lloyd 8c-12,,,Provost,AB,T0B 3S0,Conventional Oil and Gas extraction,WGS84,52.4248,-110.2925,AB-07010109,05GA
2018,17079,AlphaBow Energy Ltd.,RENAISSANCE HAYTER 12-28-40-1W4,,,,AB,,Conventional Oil and Gas extraction,WGS84,52.472,-110.0939,AB-07010109,05GA
2008,17080,HUSKY ENERGY,BLACK CREEK O.B.,15-2-41-3W4,,PROVOST,AB,,,WGS84,52.5047,-110.3217,AB-07010109,05GA
2020,17081,Response Energy Corp.,Netook GP 16-21-33-01W5,,,GARRINGTON,AB,T0M 0K0,Conventional Oil and Gas extraction,WGS84,51.8501,-114.0749,AB-08020203,05CE
2007,17082,HUSKY ENERGY,STEELE LAKE G.P.,14-34-65-24W4,,LINCOLN,AB,,,WGS84,54.1729,-113.5566,AB-11030202,05EC
2017,17083,Trident Exploration Corp,Tarragon Sweet Gas Plant 13-27,,,,AB,,Conventional Oil and Gas extraction,WGS84,51.7773,-113.1954,AB-08020202,05CE
2003,17084,HUSKY ENERGY,PLEASANT WEST C.S.,03-27-68-20W4,,PLEASANT VIEW,AB,,,WGS84,54.9093,-112.9754,AB-17050201,07CB
2003,17085,HUSKY ENERGY,CHARLOTTE LAKE BOOSTER,05-23-60-3W4,,BONNYVILLE,AB,,,WGS84,54.1998,-110.3486,AB-12020201,06AD
2007,17086,HUSKY ENERGY,ALLIANCE O.B.,4-16-40-12W4,,ALLIANCE,AB,,,WGS84,52.4357,-111.682,AB-09020202,05FB
2003,17087,HUSKY ENERGY,MUDSPRINGS O.B.,04-16-32-20W4,,ROWLEY,AB,,,WGS84,51.7373,-112.7926,AB-08020204,05CE
2018,17088,Canadian Natural Resources Limited,Armada Sweet Gas Plant 01-18-017-18W4,,,,AB,,Conventional Oil and Gas extraction,WGS84,50.4276,-112.4623,AB-04021301,05BN
2021,17089,Canadian Natural Resources Limited,Queenstown Sweet Gas Plant 04-22-019-21W4,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,50.6168,-112.8453,AB-04020901,05BM
2016,17090,Canadian Natural Resources Limited,Shouldice Sweet Gas Plant 02-11-020-23W4,,,,AB,,,WGS84,50.675,-113.0875,AB-04020901,05BM
2010,17091,HUSKY OIL OPERATIONS LIMITED,GRASSY LAKE O.B.,14-11-011-14-W4,,TABER,AB,,,WGS84,49.9003,-111.817,AB-04010601,05AG
2003,17092,HUSKY ENERGY,DIEPPE O.B.,03-26-19-8W4,,IDDESLEIGH,AB,,,WGS84,50.6315,-111.0105,AB-08030201,05CJ
2011,17093,Husky Oil Operations Limited,Cypress North Oil Battery 10-10-015-10W4,,,RALSTON,AB,,,WGS84,50.2459,-111.2962,AB-04021302,05BN
2005,17094,HUSKY ENERGY,SLOAT CREEK C.S.,10-18-100-08W6,,MD 22,AB,,,WGS84,57.6808,-119.3018,AB-19010206,07OC
2007,17095,HUSKY ENERGY,SAWN LAKE O.B.,12-29-91-12W5,,MD 131,AB,,,WGS84,56.9243,-115.9096,AB-18010404,07HB
2011,17096,Husky Oil Operations Limited,Atmore Compressor Station 13-33-071-17W4,,,WANDERING RIVER,AB,,,WGS84,55.1965,-112.5704,AB-17050304,07CA
2010,17097,PENN WEST PETROLEUM LTD,HUSKY NIPISI BTY 1 12-28,12-28-080-09W5,,,AB,,,WGS84,55.9568,-115.3468,AB-18050104,07JA
2003,17098,HUSKY ENERGY,SEAL O.B.,03-08-83-15W5,,LITTLE BUFFALO,AB,,,WGS84,56.175,-116.3425,AB-18010302,07HA
2010,17099,PENN WEST PETROLEUM LTD,UNOCAL SLAVE 8-15 H POOL,08-15-084-14w5,,,AB,,,WGS84,56.2807,-116.1191,AB-18050302,07JC
2021,17100,Husky Oil Operations Limited,WILDMERE GP 10-19-047-04W4,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,53.0687,-110.5722,AB-09030101,05FE
2003,17101,HUSKY ENERGY,ABBEY SOUTH SHACKLETON C.S.,12-36-20-19W3,,SHACKLETON,SK,,,WGS84,50.7405,-108.0008,NA,05HC
2021,17102,Whitecap Resources Inc.,Bone Creek 10-27-010-19W2 BTY,,,N/A,SK,,Conventional Oil and Gas extraction,WGS84,49.853,-108.5002,NA,05HD
2010,17103,IMPERIAL OIL,IMPERIAL TILLEY WEST #D11,01-03-018-13 W4M,,,AB,,,WGS84,50.4859,-111.7022,AB-04021302,05BN
2010,17104,IMPERIAL OIL,PRINCESS COMPRESSOR STATION,01-14-004-07-W2,,,AB,,,WGS84,50.6895,-111.5548,AB-08030201,05CJ
2019,17105,Bonavista Energy Corporation,Willesden Green 1-17 gathering system,,,WILL GREEN,AB,,Conventional Oil and Gas extraction,WGS84,52.6104,-114.8218,AB-11020102,05DE
2008,17106,IMPERIAL OIL,NISKU M INJECTION STATION,01-34-049-11 W5M,,,AB,,,WGS84,53.2651,-115.52,AB-17030101,07BA
2021,17107,Whitecap Resources Inc.,Boundary Lake Unit 1 08-02-085-14W6 (BLS) AB BTY,,,N/A,BC,,Conventional Oil and Gas extraction,WGS84,56.3385,-120.0929,BC_117,07FD
2010,17108,IMPERIAL OIL,REDCLIFF SOUTH COMPRESSOR STATION,08-23-012-07-W4,,,AB,,,WGS84,50.0092,-110.8475,AB-04030201,05AH
2021,17109,Canadian Natural Resources Limited,Verger Gas Battery 08-26-022-13W4,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,50.897,-111.6937,AB-08030301,05CH
2008,17110,IMPERIAL OIL,WILSON CREEK OIL BATTERY,10-23-042-05 W5M,,,AB,,,WGS84,52.6319,-114.6103,AB-08010302,05CC
2021,17111,i3 Energy Canada Ltd.,10-34-042-05 W5M Wilson Creek,,,Wilson Creek,AB,T2P 4L4,Conventional Oil and Gas extraction,WGS84,52.663371,-114.634727,AB-08010302,05CC
2021,17112,Canadian Natural Resources Limited,Tilley North Gas Battery 12-18-018-12W4,,,N/A,AB,,Conventional Oil and Gas extraction,WGS84,50.5223,-111.6523,AB-04021302,05BN
2016,17113,Husky Oil Operations Limited,Rainbow Battery 12-23-110-07W6,,,RAINBOW LAKE,AB,T2H2Y0,,WGS84,58.5687,-119.0615,AB-19010109,07OA
