Facility_I,Owner_Name,System_Nam,City,Province__,Postal_Cod,Owner_Type,Operator_T,Average_Da,Method_of_,Descriptio,Chlorine_U,System_Typ,Treatment_,Other_Trea,Discharge_,Is_the_hyd,Reporting_,Averaging_,Latitude,Longitude,Verificati,Type_of_Po,Name_of_bo,Name_of_th,Descript_1,Descript_2,System_sta,PRV_WSHD_I,NHN_TWS_ID,Averaging_Period,Year_Most_Recent,Average_Daily_Effluent_Volume_m3,Total_volume_of_effluent_deposited_in_cubic_metres_m3_for_averaging_period_,Average_CBOD_mgL_for_averaging_period,CBOD_Compliance,Average_suspended_solids_mgL_for_averaging_period,Suspended_Solids_Compliance
23319,paqtnkek wastewater plant,paqtnkek wastewater plant,Antigonish,Nova Scotia,B0H 1A0,NA,NA,109,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Activated Sludge, Sequencing Batch Reactor, Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.6048,-61.7355,Estimated,Final Discharge Point,Afton River,Afton River,Sport fishing,Watercourse with bulk flow ratio < 10,operational,NA,01DS,NA,NA,NA,NA,NA,NA,NA,NA
25625,Parks Canada Agency,Fortress of Louisbourg,Louisbourg,Nova Scotia,B1C2L2,Federal,Federal,100,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Trickling Filter, Other Treatment, Disinfection",Hummus and Septic tanks,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.8947,-59.9832,Verified,Final Discharge Point,Louisbourg Harbour,NA,NA,NA,operational,NA,01FJ,Quarterly,2021,100,9050,7.05,-17.95,5.05,-19.95
8782,Pictou County Shared Services Authority,EAST RIVER ENVIRONMENTAL CONTROL CENTRE,Trenton,Nova Scotia,B0K1X0,Municipal or another local authority,Municipal or another local authority,15974,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Grit Removal, Screening, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.6053,-62.6424,Verified,Final Discharge Point,East River of Pictou,East river of Pictou,Other recreational (e.g. boating),Other,operational,NA,01DP,Quarterly,2021,15799.4,1437036.75,8.475,-16.525,16.925,-8.075
24452,pictou landing first nation,pictou landing wastewater plant,trenton,Nova Scotia,B0K 1X0,NA,NA,209.6,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Primary Sedimentation/Clarification, Rotating Biological Contactor, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,45.6764,-62.6417,Estimated,Final Discharge Point,NA,boat harbour,Other recreational (e.g. boating),Open marine waters,operational,NA,01DP,Quarterly,2021,148.9,17027.25,10.175,-14.825,18.8,-6.2
24302,Potlotek First Nation,Potlotek Wastewater Treatment Plant,Potlotek First Nation,Nova Scotia,B0E3B0,NA,NA,401,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Lagoons - Aerated, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,45.6883,-60.7636,Estimated,Final Discharge Point,dras d'or lake,robertsons cove,Other recreational (e.g. boating),Fish spawning area within 1500 m,operational,NA,01FG,Annually,2021,401,148960,5,-20,7,-18
30548,Region of Queens Municipality,South Queens Sewer Treatment,Liverpool,Nova Scotia,B0T1K0,Municipal or another local authority,Municipal or another local authority,1745,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Lagoons - Aerated, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,44.0476,-64.7133,Verified,Final Discharge Point,NA,NA,NA,NA,operational,NA,01ED,Annually,2021,2094.6,712668,3.8,-21.2,0,-25
23270,Shubenacadie Band,Wastewater Plant,Indian Brook,Nova Scotia,B0N 1W0,NA,NA,616.3,Estimate based on the measured rate of influent flow,NA,No,Continuous,"Lagoons - Aerated, Polishing Ponds , Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.0903,-63.4853,Verified,Final Discharge Point,Indian Brook,Indian Brook Wetland Bog,Sport fishing,Natural wetland,operational,NA,01DG,Annually,2021,2.6,971,2,-23,0.1,-24.9
23820,The Municipality of the District of Chester,Chester Wastewater Plant,Chester,Nova Scotia,B0J1J0,Municipal or another local authority,Municipal or another local authority,560,Estimate based on the measured rate of influent flow,NA,Yes,Continuous,Oxidation Ditch,NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,44.5394,-64.2346,Estimated,Final Discharge Point,Mahone Bay,Mahone Bay,Other recreational (e.g. boating),Enclosed bay,operational,NA,01EG,Quarterly,2021,676,19600,7.75,-17.25,8.075,-16.925
23822,The Municipality of the District of Chester,Mill Cove Wastewater Plant,Mill Cove,Nova Scotia,B0J1T0,Municipal or another local authority,Municipal or another local authority,100,Estimate based on the measured rate of influent flow,NA,Yes,Continuous,Extended Aeration Activated Sludge,NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,44.5894,-64.0643,Estimated,Final Discharge Point,St.Margrets Bay,St.Margrets Bay,Contact recreational (e.g. swimming),Enclosed bay,operational,NA,01EH,Quarterly,2021,86.6,8842.375,3.8,-21.2,6.5,-18.5
23821,The Municipality of the District of Chester,Western Shore Wastewater Plant,Western Shore,Nova Scotia,B0J 3M0,Municipal or another local authority,Municipal or another local authority,380,Estimate based on the measured rate of influent flow,NA,Yes,Continuous,Oxidation Ditch,NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,44.5155,-64.3152,Estimated,Final Discharge Point,Vaughn's Brook,Vaughn's Brook,Sport fishing,Fish spawning area within 1500 m,operational,NA,01EG,Quarterly,2021,410.3,41701.5,3.075,-21.925,7.7,-17.3
26405,The Town of Antigonish,Antigonish Sewage Treatment Plant,Antigonish,Nova Scotia,B2G2E9,Municipal or another local authority,Municipal or another local authority,6690.7,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Primary Sedimentation/Clarification, Lagoons - Aerated, Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Quarterly,Quarterly,45.6234,-61.9754,Verified,Final Discharge Point,Rights River,Rights River,Other,Other,operational,NA,01DR,Quarterly,2021,7153.1,679725.75,10.25,-14.75,15.675,-9.325
30544,Town of Amherst,Town of Amherst WWTP,Fort Lawrence,Nova Scotia,B4H 3Y5,Municipal or another local authority,Municipal or another local authority,4725,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Lagoons - Aerated, Filtration",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Quarterly,Quarterly,45.8376,-64.2456,Verified,Final Discharge Point,Bay of Fundy,LaPlanche River,Other,Estuary,operational,NA,01DL,Quarterly,2021,8623,939289,12.4,-12.6,11.325,-13.675
28206,Town of Annapolis Royal,Wastewater - Annapolis Royal,Annapolis Royal,Nova Scotia,B0S1A0,Municipal or another local authority,Municipal or another local authority,545.1,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Lagoons - Aerated, Polishing Ponds , Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Annually,Annually,44.7427,-65.5041,Estimated,Final Discharge Point,Annapolis River,Annapolis River,Industrial (e.g. hydro-electric),Other,operational,NA,01DC,Annually,2021,545.1,199278.7,6.5,-18.5,10,-15
25791,Town of Berwick,Berwick Wastewater Treatment Plant,Berwick,Nova Scotia,B0P1E0,Municipal or another local authority,Municipal or another local authority,2275,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Lagoons - Aerated, Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,45.0531,-64.7331,Verified,Final Discharge Point,cornwallis river,cornwallis river,Sport fishing,Watercourse with bulk flow ratio >=10 and <=100,operational,NA,01DD,Annually,2019,2209.5,853156.3,11,-14,14,-11
23758,Town of Bridgewater,Bridgewater Wastewater Treatment Plant,Bridgewater,Nova Scotia,B4V 2T5,Municipal or another local authority,Municipal or another local authority,8918,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Rotating Biological Contactor, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,43.5481,-65.5969,Estimated,Final Discharge Point,River,Lahave,Other recreational (e.g. boating),Marine port waters,operational,NA,01EB,Quarterly,2021,6374.1,588401,8.75,-16.25,11.55,-13.45
25590,Town of Digby,Digby Regional Wastewater Facility,Digby,Nova Scotia,B0V 1A0,Municipal or another local authority,Municipal or another local authority,1300,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Screening, Lagoons - Aerated, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,44.6083,-65.74,Verified,Final Discharge Point,Bay of Fundy,Annapolis Basin,Commercial fishing,Shellfish harvesting area within 1500 m,operational,NA,01DB,Annually,2021,1473.5,423715,7.9,-17.1,10.2,-14.8
26149,Town of Lockeport,Lockeport Wastewater Treatment,Lockeport,Nova Scotia,B0T 1L0,Municipal or another local authority,Municipal or another local authority,201.7,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Grit Removal, Primary Sedimentation/Clarification, Oxidation Ditch",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Non-applicable,Non-applicable,43.6902,-65.1077,Verified,Final Discharge Point,Atlantic Ocean,Lockeport Harbour,Commercial fishing,Enclosed bay,operational,NA,01ED,Quarterly,2014,10.9,4223793.5,4.6,NA,18.35,NA
28473,Town of Lunenburg,Waste Water Treatment Plant,Lunenburg,Nova Scotia,B0J 2C0,Municipal or another local authority,Municipal or another local authority,2961,Estimate based on the measured rate of influent flow,NA,No,Continuous,"Grit Removal, Screening, Chemical Flocculation, Skimming, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,44.3763,-64.3139,Verified,Final Discharge Point,Lunenburg Front Harbour,Lunenburg Front Harbour,Other,Marine port waters,operational,NA,01EG,Quarterly,2021,3619.1,259468.5,4.775,-20.225,9.35,-15.65
30851,Town of Mahone Bay,Sewage Treatment Plant,Mahone Bay,Nova Scotia,B0J 2E0,Municipal or another local authority,Municipal or another local authority,450,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Grit Removal, Screening, Lagoons - Aerated, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Annually,Annually,44.441,-64.3687,Estimated,Final Discharge Point,Mahone Bay,Mahone Bay,Contact recreational (e.g. swimming),Open marine waters,operational,NA,01EG,Annually,2021,527.5,263424,8,-17,11,-14
28563,Town of Middleton,Middleton Wastewater Treatment Facility,Town of Middleton,Nova Scotia,B0S 1P0,Municipal or another local authority,Municipal or another local authority,2640,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Lagoons - Aerated, Polishing Ponds , Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Quarterly,Quarterly,44.9357,-65.0711,Estimated,Final Discharge Point,Annapolis River,Annapolis River,Sport fishing,Fish spawning area within 1500 m,operational,NA,01DC,Annually,2021,2251.9,796468,4.5,-20.5,6.3,-18.7
25546,Town Of Mulgrave,68 Loggie St Waste Treatment,Mulgrave,Nova Scotia,B0E2G0,Municipal or another local authority,Municipal or another local authority,200,Estimate based on the measured rate of influent flow,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Sequencing Batch Reactor, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.6177,-61.3893,Verified,Final Discharge Point,Strait of Canso,Strait of Canso,NA,Marine port waters,operational,NA,01DS,Quarterly,2021,194.7,21066,11.425,-13.575,13.125,-11.875
25757,Town Of Mulgrave,Main St Waste Treatment,Mulgrave,Nova Scotia,B0E2G0,Municipal or another local authority,Municipal or another local authority,300,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Primary Sedimentation/Clarification, No treatment",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.6091,-61.3901,Verified,Final Discharge Point,Strait of Canso,Strait of Canso,Sport fishing,Marine port waters,operational,NA,01DS,Quarterly,2021,483.9,53844.25,7.35,-109.65,10.25,-102.75
30595,Town of Oxford,Oxford NS Lagoons,Oxford,Nova Scotia,B0M 1P0,Municipal or another local authority,Municipal or another local authority,3251,Determined on the basis of the system's average design rate of influent flow,NA,No,Continuous,Lagoons - Aerated,NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Quarterly,Quarterly,45.7283,-63.8694,Estimated,Final Discharge Point,NA,NA,NA,NA,operational,NA,01DN,Quarterly,2021,3251,294215.5,4.3,-20.7,5.5,-19.5
57773,Town of Pictou,Pictou WWTP,Pictou,Nova Scotia,B0K 1H0,Municipal or another local authority,Municipal or another local authority,4110,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation Clarification, Activated Sludge, Extended Aeration Activated Sludge, Sequencing Batch Reactor, Other Treatment, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.6702,-62.7214,Verified,Final Discharge Point,Pictou Harbour,Pictou Harbour,Other recreational (e.g. boating),Marine port waters,operational,NA,01DP,Quarterly,2021,2485.6,362750,0.775,-24.225,0.4,-24.6
30585,Town of Port Hawkesbury,Town of Port Hawkesbury Wastewater Plant,Port Hawkesbury,Nova Scotia,B9A 2R7,Municipal or another local authority,Municipal or another local authority,3200,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Screening, Activated Sludge, Sequencing Batch Reactor, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,45.6299,-61.3736,Verified,Final Discharge Point,Strait of Canso,NA,Commercial fishing,Open marine waters,operational,NA,01FA,Quarterly,2021,2656.8,273752.75,8.825,-16.175,7.875,-17.125
25865,Town of Shelburne,Town of Shelburne Wastewater Treatment Plant,Shelburne,Nova Scotia,B0T1W0,Municipal or another local authority,Municipal or another local authority,1382,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Screening, Primary Sedimentation/Clarification, Activated Sludge, Oxidation Ditch, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,43.7504,-65.3152,Verified,Final Discharge Point,Shelburne Harbour,NA,Other,Open marine waters,operational,NA,01EC,Quarterly,2021,877.8,141992.35,44.7,19.7,14.325,-10.675
25290,Town of Windsor,Combined sewer raw discharge (Cunnable Creek),windsor,Nova Scotia,B0N2T0,Municipal or another local authority,Municipal or another local authority,7500,Estimate based on generally accepted engineering practices,NA,No,Continuous,No treatment,NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,44.9939,-64.141,Verified,Final Discharge Point,Avon River,Avon River,Other recreational (e.g. boating),Watercourse with bulk flow ratio >=10 and <=100,decommissioned,NA,01DE,Quarterly,2016,6446.4,313724.8,159.3333333,-79.66666667,180.6666667,-90.33333333
25289,Town of Windsor,Windsor Lagoons,windsor,Nova Scotia,B0N2T0,Municipal or another local authority,Municipal or another local authority,3000,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Lagoons - Aerated, Lagoon - Aerobic, Lagoon - Facultative, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Quarterly,Quarterly,44.9962,-64.1288,Verified,Final Discharge Point,Saint Croix River,Tregothic Creek,Agriculture (e.g irrigation),Watercourse with bulk flow ratio >=10 and <=100,operational,NA,01DE,Annually,2021,1859.1,886311,6.8,-18.2,9.8,-15.2
29567,Town of Windsor,Windsor Wastewater Treatment Facility,Windsor,Nova Scotia,B0N 2T0,Municipal or another local authority,Municipal or another local authority,7504,Determined on the basis of the system's average design rate of influent flow,NA,No,Continuous,"Grit Removal, Screening, Lagoons - Aerated, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,44.9951,-64.1255,Estimated,Final Discharge Point,NA,Mouth of St. Croix River,Other,Other,operational,NA,01DE,Annually,2021,1974.3,758378,9.6,-15.4,12.1,-12.9
30541,Village of Baddeck,Baddeck Sewage Treatment Facility,Baddeck,Nova Scotia,B0E1B0,Municipal or another local authority,Municipal or another local authority,500,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Screening, Primary Sedimentation/Clarification, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Biological Nitrogen Removal - Nitrification and Denitrification, Biological Phosphorus Removal, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,46.0935,-60.7574,Verified,Final Discharge Point,Bras d'Or Lakes,Bras d'Or Lakes,Other recreational (e.g. boating),Watercourse with bulk flow ratio < 10,operational,NA,01FF,Quarterly,2021,2248.1,221144,3.55,-21.45,2.675,-22.325
29956,Village of Kingston,Kingston stp,Kingston,Nova Scotia,B0P1R0,Municipal or another local authority,Municipal or another local authority,780,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Screening, Skimming, Extended Aeration Activated Sludge, Oxidation Ditch, Biological Ammonia Removal – Nitrification Only , Biological Nitrogen Removal - Nitrification and Denitrification, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,44.9807,-64.948,Verified,Final Discharge Point,Annapolis River,Annapolis River,Other,Other,operational,NA,01DC,Quarterly,2021,697.6,68704,5.15,-19.85,9.5,-15.5
29849,Village Of Lawrencetown,Wastewater Treatment Plant,Lawrencetown,Nova Scotia,B0S1M0,Municipal or another local authority,Municipal or another local authority,345,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Screening, Lagoons - Aerated, Other Treatment",UV Lighting System,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,44.88,-65.161,Verified,Final Discharge Point,NA,Wastewater Lagoon System Influent,NA,NA,operational,NA,01DC,Annually,2021,267.9,72016,3,-22,6.7,-18.3
58348,wagmatcook first nation,wagmatcook lagoon,wagmatcook,Nova Scotia,B0E 3N0,NA,NA,204,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Lagoons - Aerated, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,46.0422,-60.5433,Verified,Final Discharge Point,Bras d'Or Lake,middle river,Other recreational (e.g. boating),Enclosed bay,operational,NA,01FG,Annually,2021,1092.2,40648.6,7.9,-17.1,11.2,-13.8
25210,wagmatcook first nation,wagmatcook1,wagmatcook,Nova Scotia,B0E3N0,NA,NA,178,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Activated Sludge, Extended Aeration Activated Sludge, Rotating Biological Contactor, Sequencing Batch Reactor, Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,46.0811,-60.9104,Estimated,Final Discharge Point,Brasdoe Lakes,middle river,Other recreational (e.g. boating),Enclosed bay,operational,NA,01FF,Quarterly,2021,193.2,22855.5,2.025,-22.975,16.9,-8.1
1477,Alexandra Hood,Division Lapa,Timmins,Ontario,P4N 6W7,Other,Other,0,Other method of calculation based on measurements,"No discharge, site is closed.",No,Intermittent,No Treatment,NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Non-applicable,Non-applicable,48.2287,-78.2823,Verified,Final Discharge Point,NA,Discharge,Industrial (e.g. hydro-electric),NA,operational,ON-04NA-05,04NA,NA,NA,NA,NA,NA,NA,NA,NA
30578,Aroland First Nation,Aroland Lagoon,Aroland First Nation,Ontario,P0T1B0,NA,Other,90,Other method of calculation based on measurements,Estimate based on population of 325 persons at a per capita production of 275 L//p/d,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,50.224,-86.9631,Estimated,Final Discharge Point,NA,NA,Sport fishing,Other,operational,ON-04JF-06,04JF,Annually,2021,90,2430,12.1,-12.9,11.2,-13.8
43869,Attawapiskat First Nation,Attawapiskat Lagoon,Attawapiskat,Ontario,P0L 1A0,NA,NA,463.6,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Annually,Annually,52.9314,-82.9362,Estimated,Final Discharge Point,Attawapiskat River,NA,Other,Watercourse with bulk flow ratio > 100,operational,ON-04FCA02,04FC,NA,NA,NA,NA,NA,NA,NA,NA
51896,Bearskin Lake First Nation,Bearskin Lake Lagoon,Bearskin Lake,Ontario,P0V 1E0,NA,NA,72,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Non-applicable,Non-applicable,53.9307,-90.9845,Estimated,Final Discharge Point,Michikan Lake,Michikan Lake,Drinking water source,Natural lake,operational,ON-04CCB02,04CC,NA,NA,NA,NA,NA,NA,NA,NA
56861,Big Trout Lake First Nation,K.I. Wastewater System,Big Trout Lake,Ontario,P0V 1G0,NA,NA,205,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Annually,Annually,53.8222,-89.9098,Estimated,Final Discharge Point,Big Trout Lake,Big Trout Lake,Other,Natural lake,operational,ON-04CE-09,04CE,Annually,2021,205,48096,8.8,-16.2,22.5,-2.5
26008,Biinjitiwaabik Zaaging Anishinaabek,Biinjitiwaabik Zaaging Anishinaabek Wastewater Treatment plant,MacDiarmid,Ontario,P0T2B0,NA,NA,71.4,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Grit Removal, Primary Sedimentation/Clarification, Rotating Biological Contactor, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Non-applicable,Non-applicable,49.4369,-88.1292,Verified,Final Discharge Point,Lake Nipigon,Lake Nipigon,Commercial fishing,Natural lake,operational,ON-02ADA02,02AD,NA,NA,NA,NA,NA,NA,NA,NA
1412,Bruce Power LP,Bruce Power,Tiverton,Ontario,N0G2T0,Other,Other,1176.4,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Chemical Flocculation, Skimming, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Chemical Precipitation (Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,44.3233,-81.5875,Verified,Final Discharge Point,NA,NA,Industrial (e.g. hydro-electric),Watercourse with bulk flow ratio < 10,operational,NA,02FD,Quarterly,2021,888.8,91052.9,2.2,-22.8,6.4,-18.6
8469,Canadian Nuclear Laboratories,Chalk River Laboratories,Chalk River,Ontario,K0J1J0,Federal,Federal,683,Estimate based on the measured rate of effluent flow,NA,Yes,Continuous,"Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,46.0524,-77.3618,Verified,Final Discharge Point,Ottawa River,Ottawa River,Other,Watercourse with bulk flow ratio > 100,operational,ON-02KA-01,02KA,Quarterly,2021,335.3,33640.25,1.625,-23.375,16.6,-8.4
48897,Cat Lake First Nation,Cat Lake,Cat Lake,Ontario,P0V1J0,NA,NA,259,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Annually,Annually,51.7291,-91.8094,Estimated,Final Discharge Point,Cat Lake,Cat Lake,Drinking water source,Natural lake,operational,ON-04GAA10,04GA,Annually,2020,259,94535,2,-23,3,-22
24299,Chippewas of Kettle and Stony Point First Nation,Kettle & Stony Point Sewage Treatment Facility,Kettle & Stony Point First Nation,Ontario,N0N 1J1,NA,NA,145,Estimate based on the measured rate of influent flow,NA,No,Continuous,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Rotating Biological Contactor, Biological Nitrogen Removal - Nitrification and Denitrification, Chemical Precipitation (Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,43.1787,-82.0053,Verified,Final Discharge Point,Lake Huron,Shashawandah Creek,Agriculture (e.g irrigation),Natural lake,operational,NA,02FF,Quarterly,2020,120.3,10511.5,25.25,0.25,45.5,20.5
23949,Chippewas of Rama First Nation,RFN wastewater treatment,Rama,Ontario,L3V 6H6,NA,NA,1070,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Activated Sludge, Sequencing Batch Reactor, Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,44.6512,-79.3368,Estimated,Final Discharge Point,Lake Couchiching,Lake Couchiching,Drinking water source,Natural lake,operational,ON-02EC-02,02EC,Quarterly,2021,456.3,40925.75,1.5,-23.5,2.75,-22.25
23814,Chippewas of the Thames First Nation Chief and Council,COTTFN Wastewater Treatment Plant,Muncey,Ontario,N0L 1Y0,NA,NA,109.1,Determined on the basis of the system's average design rate of influent flow,NA,No,Continuous,"Grit Removal, Screening, Sequencing Batch Reactor, Biofiltration, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Other Treatment, Disinfection",UV Disinfection,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,42.8167,-81.4726,Verified,Final Discharge Point,NA,NA,NA,NA,operational,ON-02GE-06,02GE,Quarterly,2021,38.2,3808.475,2,-23,3.4,-21.6
9281,City of Brockville (Corporation of the),Water Pollution Control Centre,Brockville,Ontario,K6V 5T1,Municipal or another local authority,Municipal or another local authority,15073,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,44.6015,-75.6621,Verified,Final Discharge Point,St Lawrence River,St Lawrence River,NA,NA,operational,ON-02MA-01,02MA,Quarterly,2021,16421.1,1343182.725,2.25,-22.75,6.5,-18.5
23792,City of Clarence-Rockland,Rockland Wastewater Treatment Plant,Rockland,Ontario,K4K 3T2,Municipal or another local authority,Provincial,3709,Continuous measure of influent volume deposited via the final discharge point,NA,Yes,Continuous,"Grit Removal, Chemical Flocculation, Sequencing Batch Reactor, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,45.5591,-75.2782,Estimated,Final Discharge Point,Ottawa River,Ottawa River,Other,Open marine waters,operational,ON-02LB-03,02LB,Quarterly,2021,4606.1,377591,4.5,-20.5,12.825,-12.175
